Food Name,Food Group,Cultural Suitability,Dietary Tags,Trimester 1,Trimester 2,Trimester 3,Anemia Friendly,Gestational Diabetes Friendly,Hypertension Friendly,Constipation Friendly,Morning Sickness Friendly,Heartburn Friendly,Energy (kcal per 100g),Protein (g per 100g),Iron (mg per 100g),Calcium (mg per 100g),Folate (µg per 100g),Vitamin C (mg per 100g),Vitamin A (IU per 100g),Magnesium (mg per 100g),Fiber (g per 100g),Omega-3 (g per 100g),DHA (g per 100g),Sodium (mg per 100g)
Coconut Water,Beverage,South Indian,"Vegan, Gluten-Free",1,1,1,No,Yes,Yes,Yes,No,,324.83,9.29,0.95,930.55,54.32,80.86,4137.84,14.21,2.32,0.46,0.37,57.57
Carrots,Vegetables,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,Yes,65.11,9.33,10.65,367.69,98.55,6.6,679.63,334.72,14.39,0.32,0.26,26.88
Sweet Potato,Vegetables,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,Yes,440.14,1.31,0.16,475.11,277.04,48.19,361.29,319.17,13.48,0.35,0.3,41.38
Turmeric,Spices,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,No,Yes,Yes,Yes,No,,464.01,21.65,3.68,529.57,132.9,35.47,181.77,308.73,13.05,0.8,0.3,68.98
Beetroot,Vegetables,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,Yes,67.54,1.32,5.57,969.26,121.97,28.93,57.24,181.75,1.49,0.95,0.41,77.75
Papaya (Ripe),Fruits,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,No,Yes,Yes,Yes,No,,245.38,7.78,1.41,967.59,168.45,57.55,959.31,44.34,0.19,0.19,0.59,24.99
Dates,Dry Fruits,Middle Eastern,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,,352.0,20.2,7.42,351.91,89.56,35.38,3135.94,238.65,16.36,0.35,0.12,83.73
Dahi (Curd),Dairy,Indian,"Vegetarian, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,,67.18,19.35,8.26,287.84,71.62,28.87,1328.83,220.54,13.48,0.92,0.59,68.04
Mango,Fruits,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,No,Yes,No,Yes,No,,464.66,4.27,13.36,622.94,77.51,85.19,345.55,205.01,6.37,0.27,0.23,44.77
Peanuts,Nuts,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,,262.14,21.6,8.41,840.88,118.59,8.19,2592.44,18.71,16.36,0.5,0.22,97.86
Tofu,Soy Products,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,,326.59,17.91,10.1,410.11,36.26,18.8,4200.86,140.13,18.92,0.12,0.27,94.99
Amla (Indian Gooseberry),Fruits,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,Yes,277.83,9.07,0.94,589.34,93.65,24.58,3662.12,129.66,19.86,0.93,0.84,42.52
Bitter Gourd (Karela),Vegetables,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,No,Yes,Yes,Yes,No,,311.58,23.39,14.19,486.71,28.96,69.92,663.84,356.95,16.1,0.56,0.82,47.22
Drumstick Leaves,Leafy Greens,South Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,Yes,160.97,3.08,6.28,16.0,222.76,87.61,1998.49,176.12,0.5,0.71,0.78,37.6
Curry Leaves,Spices,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,,110.91,5.54,1.2,198.66,181.9,46.04,4339.71,304.45,11.04,0.86,0.89,47.52
Fox Nuts (Makhana),Seeds,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,,265.22,14.39,9.03,68.07,228.8,38.29,877.58,270.71,0.59,0.35,0.77,93.66
Black Chana,Pulses,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,Yes,266.11,5.18,12.18,825.28,71.82,22.8,1639.39,99.52,8.29,0.64,0.38,15.51
Barley,Cereals,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,,465.93,12.28,7.03,928.46,78.45,67.67,2228.84,232.53,16.15,1.0,0.98,77.28
Chia Seeds,Seeds,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,,264.67,15.56,6.63,141.89,55.06,63.05,513.45,40.73,4.73,0.08,0.84,94.94
Gond (Edible Gum),Dry Fruits,Indian,"Vegetarian, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,,336.3,16.89,13.62,871.72,61.71,68.46,2386.52,336.03,8.1,0.37,0.57,11.25
Figs (Anjeer),Dry Fruits,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,,178.63,19.45,13.55,579.97,189.71,58.71,3716.43,10.03,2.45,0.86,0.24,64.74
Watermelon,Fruits,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,No,Yes,Yes,Yes,No,,257.12,18.26,2.15,572.39,174.62,49.45,2524.33,248.91,5.39,0.82,0.18,79.74
Muskmelon,Fruits,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,No,Yes,Yes,Yes,No,,338.4,21.96,7.51,212.72,174.87,5.29,2705.36,41.72,8.61,0.42,0.08,25.32
Lotus Seeds,Seeds,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,,489.53,19.41,6.68,752.64,6.72,7.93,2086.18,125.15,13.28,0.34,0.54,63.45
Sattu,Cereals,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,,400.61,1.53,9.68,656.66,92.33,45.15,946.4,84.57,2.94,0.19,0.41,37.79
Tamarind,Fruits,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,No,Yes,Yes,Yes,No,,357.19,5.98,10.89,354.16,103.14,22.73,3075.41,399.31,17.23,0.59,0.3,54.41
Soya Chunks,Soy Products,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,,181.43,12.83,11.18,21.17,124.93,4.49,2915.85,278.43,13.14,0.85,0.2,40.07
Walnuts,Nuts,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,,219.0,5.33,11.95,157.93,213.34,21.13,3436.43,359.99,7.71,0.72,0.01,87.26
Black Sesame Seeds,Seeds,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,,485.33,20.3,14.2,424.14,187.16,54.13,32.85,319.48,15.63,0.14,0.82,46.63
Corn,Cereals,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,,278.97,23.51,13.56,870.5,57.98,89.81,4474.76,38.83,18.05,0.09,0.87,38.7
Green Peas,Vegetables,Indian,"Vegetarian, Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,No,,336.22,19.04,5.78,285.48,133.47,89.55,4997.9,87.13,18.27,0.77,0.25,33.81
